City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Westport,US,2022-06-27 22:09:11,41.1415,-73.3579,76.55,95,100,3.0
183,Soledade,BR,2022-06-27 22:09:12,-28.8183,-52.5103,58.1,95,100,4.0
184,Margate,GB,2022-06-27 22:09:06,51.3813,1.3862,57.31,78,75,4.0
185,Yulara,AU,2022-06-27 22:09:13,-25.2406,130.9889,47.16,56,82,8.63
186,Homer,US,2022-06-27 22:09:14,59.6425,-151.5483,62.04,78,0,9.22
187,Severo-Kurilsk,RU,2022-06-27 22:09:15,50.6789,156.125,46.89,97,100,11.45
188,Kaiwaka,NZ,2022-06-27 22:09:16,-36.1667,174.45,54.7,79,100,3.56
189,Phayao,TH,2022-06-27 22:09:17,19.25,100.25,71.56,98,100,2.35
190,Sozimskiy,RU,2022-06-27 22:09:18,59.7418,52.2482,43.61,64,96,8.14
191,Thompson,CA,2022-06-27 22:09:19,55.7435,-97.8558,49.17,79,100,11.25
192,Nabire,ID,2022-06-27 22:09:20,-3.3667,135.4833,75.74,91,100,1.43
193,Havre,FR,2022-06-27 22:09:21,49.5833,0.3333,57.2,82,0,0.0
194,Puerto Escondido,MX,2022-06-27 22:08:35,15.85,-97.0667,86.83,70,20,5.75
195,Mandera,KE,2022-06-27 22:09:23,3.9366,41.867,78.33,54,97,18.52
196,Ketchikan,US,2022-06-27 22:09:24,55.3422,-131.6461,73.87,49,0,9.22
197,Zyryanka,RU,2022-06-27 22:09:25,65.75,150.85,63.77,51,34,1.16
198,Knysna,ZA,2022-06-27 22:09:25,-34.0363,23.0471,58.96,55,1,5.32
199,Meulaboh,ID,2022-06-27 22:07:19,4.1363,96.1285,75.07,92,100,4.83
200,Kamaishi,JP,2022-06-27 22:09:27,39.2667,141.8833,70.02,97,100,5.93
201,Mount Gambier,AU,2022-06-27 22:09:28,-37.8333,140.7667,40.1,92,100,6.8
202,Nuuk,GL,2022-06-27 22:09:29,64.1835,-51.7216,41.54,86,100,14.34
203,Mahebourg,MU,2022-06-27 22:09:30,-20.4081,57.7,70.09,78,75,11.5
204,Hualmay,PE,2022-06-27 22:09:32,-11.0964,-77.6139,64.74,79,69,13.27
205,Buchanan,LR,2022-06-27 22:09:33,5.8808,-10.0467,76.95,89,89,7.72
206,Shannon,IE,2022-06-27 22:09:34,52.7039,-8.8642,56.14,94,75,17.27
207,Myitkyina,MM,2022-06-27 22:09:34,25.3833,97.4,73.53,99,100,0.49
208,Gracac,HR,2022-06-27 22:09:35,44.3006,15.8547,69.55,61,0,2.06
209,Tezu,IN,2022-06-27 22:09:37,27.9167,96.1667,74.5,99,100,2.55
210,Kristinehamn,SE,2022-06-27 22:09:38,59.3098,14.1081,77.56,61,64,7.14
211,Sabang,ID,2022-06-27 22:09:39,5.8933,95.3214,81.52,78,100,18.5
212,Sakakah,SA,2022-06-27 22:09:40,29.9697,40.2064,84.29,19,0,8.3
213,Pisco,PE,2022-06-27 22:07:43,-13.7,-76.2167,68.05,68,33,18.41
214,Chuy,UY,2022-06-27 22:09:42,-33.6971,-53.4616,51.75,93,100,3.65
215,Bagdarin,RU,2022-06-27 22:09:43,54.4333,113.6,63.12,71,45,2.06
216,Bocas Del Toro,PA,2022-06-27 22:09:44,9.3333,-82.25,73.76,91,100,16.28
217,Bambous Virieux,MU,2022-06-27 22:09:45,-20.3428,57.7575,70.05,78,75,11.5
218,Ixtapa,MX,2022-06-27 22:09:45,20.7,-105.2,87.03,62,20,11.5
219,San Andres,CO,2022-06-27 22:09:46,12.5847,-81.7006,84.22,74,40,9.22
220,Contamana,PE,2022-06-27 22:09:47,-7.3333,-75.0167,87.85,48,10,0.36
221,Moramanga,MG,2022-06-27 22:09:48,-18.9333,48.2,55.26,98,100,9.01
222,Praia,CV,2022-06-27 22:09:50,14.9215,-23.5087,75.74,73,20,14.97
223,Labuhan,ID,2022-06-27 22:09:50,-6.8844,112.2051,74.35,82,33,11.88
224,Gallup,US,2022-06-27 22:09:51,35.5281,-108.7426,79.56,40,40,16.11
225,Ouegoa,NC,2022-06-27 22:09:52,-20.35,164.4333,74.66,74,98,3.91
226,Cap Malheureux,MU,2022-06-27 22:10:23,-19.9842,57.6142,67.46,79,41,1.01
227,Ahuimanu,US,2022-06-27 22:10:24,21.4447,-157.8378,85.71,62,100,17.27
228,Fernie,CA,2022-06-27 22:10:25,49.5,-115.0687,82.26,23,41,4.52
